Categoria,Subcategoria,Nombre,Contacto 1,Contacto 2,Dpto,Municipio,Vereda/Sector/Barrio,Direccion,Punto referencia,,web,Email 1,Email 2,facebook,twitter,instagram,Whatsapp,TikTok,telefono1,telefono2,telefono3,Actividades
Turismo,Ecoturismo,Hotel Tinamú,,,Caldas,Manizales,Vda San Peregrino,,,,www.hoteltinamu.com,info@hoteltinamu.com,,hoteltiname,hoteltinamu,,,,57 3147741557,3137744227,,"Alojamiento, observación de aves, senderismo"
Turismo,Ecoturismo,Hotel y Restaurante Iguaima,,,Tolima,Ibagué,Corregimiento Juntas,Via El Nevado Km 16,Antes del pueblo,,www.iguaima.com,ventas@hoteliguaima.com,,,,,,,57 3112766198,3112759871,,"Alojamiento, áreas verdes"
Turismo,Ecoturismo,Finca Agroturistica El Palmar,,,Tolima,Ibagué,,Cra 5 CC Arkacentro Local E1-B34,,,www.agroturelpalmar.com,,,,,,,,57 8 2793434,3153436496,,"Alojamiento, áreas verdes, senderos, camping, cabalgatas."
Turismo,Ecoturismo,Parque Nacional del Arroz,,,Tolima,Alvarado,Via Piedras,Via Alvarado a Piedras Km 2,,,www.parquenacionaldelarroz.com,serivicioalcliente@parquenacionaldelarroz.com,,pnaalvarado,,parquenacionaldelarroz,,,57 8 2621205,3153914777,,"Alojamiento, restaurante, juegos, piscina, Eventos, cabalgatas, piscina natural, cascada, cultura del arroz, museo, hamacas."
Turismo,Ecoturismo,Jardin Botánico san Jorge,,,Tolima,Ibagué,Calambeo,Via Calambeo,Antigua Granja San Jorge,,www.jardinbotanicosanjorge.org,jardinsanjorge@gmail.com,,,,,,,57 8 2638334,3208027136,,"Senderismo, observación de aves."
Turismo,Ecoturismo,Hospedaje La Posada del Turista,,,Tolima,Murillo,,Calle 4 No 8-42,,,www.facebook.com/groups/384298403744/,laposadadelturista@hotmail.com,,groups/384298403744/,,,,,57 3108800200,3102038605,,Alojamiento
Turismo,Ecoturismo,Reserva Agroturistica Entreaguas,,,Tolima,Ibagué,Coello cocora,Via Ibagué Armenia,,,www.reservaentreaguas.com,reservaentreaguas@gmail.com,,entreaguas.reservanatural,entreaguasm,entreaguasm,,,57 3008114476,3163581879,,"Caminatas, ecotalleres, balneario natural, avistamiento de aves, agrocultura, alimentación."
Turismo,Ecoturismo,Reserva santa Librada,,,Tolima,,,Km 11 Via a Santa Teresa – Libano,,,www.reservasantalibrada.com,reservasantalibrada@gmail.com,,,,,,,57 8 2565659,3173538213,3134151405,"Avistamiento de aves, agricultura biológica, caminatas."
Turismo,Ecoturismo,Turismo Natural Astuagro,,,Tolima,Libano,,,,,,astuagrolibano@gmail.com,,astuagro,,,,,57 3104202601,3203474493,3152106725,"Turismo, Avistamiento de aves, Agroindustria, Artesania."
Turismo,Ecoturismo,RedNatur Red Turismo de Naturaleza del Tolima,,,Tolima,,,,,,www.rednaturtolima.com,rednaturtolima@gmail.com,,,,,,,57 3118112312,3138624859,,"Red de reservas naturales privadas, ofrece información de varios sitios interesantes para visitar."
